image_id,angle,speed
1,0.5693,0
10,0.7568,0
100,0.6482,1
1000,0.0586,1
1001,0.1655,1
1002,0.4363,0
1003,0.5727,0
1004,0.5905,0
1005,0.7838,1
1006,0.5354,0
1007,0.1174,1
1008,0.6426,0
1009,0.8559,1
101,0.7424,0
1010,0.6746,0
1011,0.5193,1
1012,0.6354,0
1013,0.7096,1
1014,0.7375,1
1015,0.545,1
1016,0.5906,0
1017,0.6908,0
1018,0.3947,1
1019,0.697,1
102,0.7992,0
1020,0.1415,1
103,0.5116,0
104,0.6076,1
105,0.4945,0
106,0.6197,0
107,0.5526,0
108,0.3041,1
109,0.7817,1
11,0.539,0
110,0.6836,0
111,0.4465,1
112,0.5662,0
113,0.7178,0
114,0.4496,0
115,0.597,0
116,0.576,1
117,0.6474,0
118,0.5727,0
119,0.8581,1
12,0.7268,0
120,0.7138,0
121,0.2306,1
122,0.6379,0
123,0.5173,0
124,0.5038,0
125,0.0728,1
126,0.7356,0
127,0.5596,1
128,0.6494,0
129,0.2157,1
13,0.4793,1
130,0.4837,0
131,0.6864,0
132,0.4803,1
133,0.7655,1
134,0.5825,1
135,0.7804,1
136,0.6178,0
137,0.409,0
138,0.7081,0
139,0.3682,1
14,0.5963,0
140,0.7292,0
141,0.683,1
142,0.1886,1
143,0.5517,0
144,0.4554,1
145,0.4731,0
146,0.7591,1
147,0.3388,0
148,0.4964,1
149,0.3957,0
15,0.075,1
150,0.4639,0
151,0.7953,1
152,0.6984,0
153,0.5834,0
154,0.7264,0
155,0.5895,0
156,0.3975,1
157,0.5981,0
158,0.7249,1
159,0.5865,0
16,0.696,0
160,0.3169,1
161,0.6213,1
162,0.4681,0
163,0.732,0
164,0.8023,1
165,0.5792,0
166,0.3829,0
167,0.5323,0
168,0.4008,0
169,0.023,1
17,0.4556,0
170,0.7316,1
171,0.5528,0
172,0.546,1
173,0.4275,1
174,0.4844,1
175,0.426,1
176,0.4346,0
177,0.6893,1
178,0.8,1
179,0.485,1
18,0.7427,0
180,0.1466,1
181,0.4169,1
182,0.7612,1
183,0.5166,0
184,0.5316,0
185,0.4842,1
186,0.8021,1
187,0.2623,1
188,0.6459,0
189,0.6774,0
19,0.413,0
190,0.775,0
191,0.4645,1
192,0.5808,1
193,0.5669,0
194,0.4625,1
195,0.4395,0
196,0.1468,1
197,0.6828,0
198,0.4052,0
199,0.7682,1
2,0.8037,1
20,0.355,0
200,0.6663,0
